switch,duration,n_packets,n_bytes,dl_src,dl_dst,nw_src,nw_dst,tp_src,tp_dst,actions,packets_per_s,bytes_per_s
s2,28.313,27,2646,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,27,2646
s2,28.311,27,2646,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,27,2646
s2,29.028,27,2646,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,29.026,27,2646,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,29.720,28,2744,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,29.718,28,2744,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,30.420,29,2842,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,30.418,29,2842,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,31.174,30,2940,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,31.172,30,2940,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,31.885,30,2940,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,31.883,30,2940,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,32.645,31,3038,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,32.643,31,3038,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,33.374,32,3136,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,33.372,32,3136,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,34.076,33,3234,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,34.074,33,3234,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,34.794,33,3234,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,34.792,33,3234,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,35.479,34,3332,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,35.477,34,3332,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,36.175,35,3430,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,36.173,35,3430,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
